Probesets	age1_A	age1_B	age2_A	age2_B
200076_s_at	883.5	994.2	606.8	889.1
200077_s_at	13857.7	14910.6	13100.1	13570.7
200078_s_at	1590	1684.9	1582.7	1680.7
200079_s_at	4649	4489.9	4025.7	2931.1
200080_s_at	4409.7	5846.1	4440.7	4990.8
200081_s_at	15040.1	15058.9	16491.7	12222.7
200082_s_at	8241.2	8318.9	9069.7	6396.5
200083_at	1183.5	1776.2	1140	1185.8
200084_at	2261.2	2337.1	2018	2122
200085_s_at	3536.6	4795.9	4858.2	3897
200086_s_at	9915.1	9608.4	10325.8	8167.8
200087_s_at	2993.9	3073.9	2899.5	3319.6
200088_x_at	11422.7	12711.2	15616	10698.4
200089_s_at	12955.2	12492.1	14208.9	11115
200090_at	3263	2832.1	2315.4	3028.7
200091_s_at	11912.2	13416.9	13074.8	10420.9
200092_s_at	19934.7	20818.1	24979.1	17894.5
200093_s_at	3284.9	5171.1	2798.2	3196.2
200094_s_at	15635	12012.9	18170	11159.7
200095_x_at	28801.8	31953.4	33049.4	24111.9
200096_s_at	1532.9	1465.6	2001.2	1558.7
200097_s_at	1626.4	1094.8	1280.7	1248.1
200098_s_at	2836.7	2837.4	2494	2468.8
200099_s_at	19161	22986.6	21996.9	17045.5
200593_s_at	1639.4	991.1	1781.8	1509.2
200594_x_at	3341.6	2718.4	3185.8	2934.1
200595_s_at	1917.2	2360.7	2109.7	2329.7
200596_s_at	1029.6	870.7	618.2	461.4
200597_at	592.5	632.7	642.4	498.5
200598_s_at	548.2	359.6	599.9	654.5
200599_s_at	1070.5	1182	927.8	1165.4
200600_at	843.7	514.1	691.7	1211.7
200601_at	36.2	427.2	288.6	274.7
200602_at	268.9	328.2	364.4	352.4
200603_at	2538.6	3423	2063.7	2711.2
200604_s_at	860	515.2	473.5	479.9
200605_s_at	2765.9	2242.1	2102.2	2653.9
200606_at	242	148.9	314	166.9
200607_s_at	1531.7	852.9	1286.9	1284.7
200608_s_at	931.2	1409	922.2	1061.5
200609_s_at	1322.7	1403.7	1154.1	1326
200610_s_at	3584.7	4554.5	3229	3498.7
200611_s_at	1309.5	1225.7	1426.6	1355.4
200612_s_at	353.7	73.5	480.5	263.6
200613_at	661.7	1000.7	908.8	805.7
200614_at	2069.7	2441	2475.5	3187.8
200615_s_at	1129.6	841.5	1532.4	1291.4
200616_s_at	772.9	656.7	775.6	619.9
200617_at	2173.6	1864.7	1999.9	2305.7
200618_at	1089.4	847.6	480.7	1306.7
200619_at	198	757.4	378.1	570
200620_at	2294	2214.5	2143.1	2154.2
200621_at	922.4	862.9	701.4	1721.2
200622_x_at	1682.6	1320.2	1353.8	1356
200623_s_at	605.4	898.1	678.6	499.5
200624_s_at	3185.2	3305.9	3426.1	2077.7
200625_s_at	221.9	585.9	174.9	550.4
200626_s_at	621.9	853.8	554.9	509.9
200627_at	3489.7	3522.9	3093.7	3671.7
200628_s_at	450.8	684.7	871.6	875.4
200629_at	837.6	836.4	817.5	890.9
200630_x_at	3730.4	2830.4	3029.6	2638.5
200631_s_at	2388	2887	2526.5	2237
200632_s_at	702.7	755.7	698.9	741.6
200633_at	35529.5	33222.1	36640.1	35778
200634_at	1110	1793.8	1710.2	1499.7
200635_s_at	43.4	92.6	247.7	40.8
200636_s_at	54.5	86.9	57.1	201.7
200637_s_at	61.7	52.1	49.2	12.8
200638_s_at	534.2	500.8	359.9	695.1
200639_s_at	640.7	874.7	564.5	613.2
200640_at	1128.7	1273.1	1270.4	2013.2
200641_s_at	718.1	506.1	740.6	1165.9
200642_at	8480.2	8294.6	8333.7	9432
200643_at	2212.7	3069.1	2827.4	1909.8
200644_at	465	364.5	519.7	620.4
200645_at	7160.5	8048.7	6876.8	7486.8
200646_s_at	301	526	590.6	248.5
200647_x_at	4052.2	6978.7	5518.2	2171.1
200648_s_at	1199.2	2755.5	1569.5	1292.5
200649_at	878.2	1478.7	959.9	986
200650_s_at	34223.5	34831.1	33754.9	32054.2
200651_at	20877.5	19772.7	29969.6	24593.1
200652_at	1019.7	1062.7	994.2	972.1
200653_s_at	4976.1	4023.4	4547.7	4629.4
200654_at	2498.5	3402.9	2539.4	2724.2
200655_s_at	4568.7	4876	5316.7	4041
200656_s_at	1363.5	1905.1	1736.7	1083
200657_at	990.8	1214.4	989.2	1254.1
200658_s_at	1320.5	961.7	1172.1	889.9
200659_s_at	888.5	884.9	865.1	573.6
200660_at	235.5	170.7	91.4	315.7
200661_at	165.2	332.1	161.9	163.7
200662_s_at	1463.8	1736.2	1168.7	1282.7
200663_at	7271.6	8526.4	9779	8826.8
200664_s_at	255.5	648.7	333.7	470.2
200665_s_at	1804.4	1467.4	1499	2735.4
200666_s_at	792.8	1428.1	1004.5	1179.7
200667_at	2021.2	2240.9	2163.8	2410.5
200668_s_at	3726.9	3403	3838	3579.4
200669_s_at	2130.7	1834.9	2502.5	2492.5
200670_at	662.4	566.4	471.4	576.4
200671_s_at	63	25.8	262	295.7
200672_x_at	788.2	523.4	683.1	694
200673_at	2810.7	3411.2	2722.7	2303
200674_s_at	34836.5	37418.8	44337.7	33457.9
200675_at	1078.9	1263	780.2	922.7
200676_s_at	228.2	471.5	420.4	359.8
200677_at	1431.1	1518.5	1547.1	1556.2
200678_x_at	1110	1082.6	961.9	998.2
200679_x_at	1779.8	1578	1605.8	1600.2
200680_x_at	7712.7	9414.4	7808.7	6658.6
200681_at	4300.9	4710.7	4070.7	3871.8
200682_s_at	1962	2550.6	2341.2	2218.9
200683_s_at	515.5	774.6	118.4	664.6
200684_s_at	353.1	649.1	541.9	248.5
200685_at	251.1	185.2	132.5	170.2
200686_s_at	1242.7	1160.5	1515.7	923.5
200687_s_at	158.7	240	278	107.7
200688_at	58.9	61.8	53.6	137.8
200689_x_at	36637.9	36068.2	36596	26127.9
200690_at	1530.7	1117	1399.6	968
200691_s_at	3629.8	4195.5	3639.2	4554.2
200692_s_at	1766.6	1519.1	2062.2	1988.4
200693_at	896	1007.7	782.2	1145.7
200694_s_at	1366.1	2081.5	2175.9	1846.5
200695_at	1677.2	1557.7	2338.5	2317.7
200696_s_at	3846.8	3243.4	3529.8	5080.4
200697_at	3629.7	5317.8	3751	3311.1
200698_at	1244.9	811.6	765.6	1043.5
200699_at	461.4	848.6	335	682
200700_s_at	1119.9	913.7	1323.5	1659
200701_at	1154.8	1165.7	1355	1502.7
200702_s_at	211.4	117.2	164.8	187
200703_at	770.7	1151.6	804.5	1142.5
200704_at	689.8	391.7	799	594.1
200705_s_at	11036.4	11750.2	13638.9	9369.5
200706_s_at	76.7	170.4	94.4	347.2
200707_at	59.1	397	186.6	83.7
200708_at	8975.8	12892.9	7958.5	7611
200709_at	1434.8	1533.7	1185.7	1771.5
200710_at	6758.7	7602.8	6994.2	6846.6
200711_s_at	3778.7	3202.2	2644.9	3227.1
200712_s_at	460.5	277.2	410.7	515
200713_s_at	921.8	912	839.9	1116
200714_x_at	1328.7	1435	1473.5	1584.7
200715_x_at	5202	5781	7398.4	4403.7
200716_x_at	39167.4	32841.1	47387.1	27494.5
200717_x_at	33167.9	38427.8	38651.5	28965.4
200718_s_at	11307.4	13547.7	10024.4	12352.2
200719_at	692.5	1117.7	895	865.5
200720_s_at	1632	1163.8	1475.2	1492
200721_s_at	1012.2	1497.4	1016.4	1097.6
200722_s_at	664.8	651.1	923.7	610.9
200723_s_at	1417.8	1111.7	1214.7	1602.2
200724_at	336.2	223.7	622.2	427.9
200725_x_at	32177.1	33406.6	34302.2	24719.1
200726_at	4657.1	3906.6	3153.6	4739.7
200727_s_at	724.8	29.4	573	666.5
200728_at	1042.4	845.6	688.5	1066.4
200729_s_at	531	460.9	559.1	819.9
200730_s_at	2598.1	1402.6	2955.6	1620.5
200731_s_at	4575.1	3845.9	6260.7	5187.2
200732_s_at	6528.4	6276.7	8142	6151.7
200733_s_at	910.9	1674.1	1632.5	1156
200734_s_at	471.7	466.2	644.7	622.2
200735_x_at	5936.6	8635.7	6511	6399.7
200736_s_at	2550.7	2089.8	2091.5	1968.5
200737_at	1957.8	2360.9	1345.4	2788.8
200738_s_at	12504.2	13544.2	8652.9	11134.8
200739_s_at	455.8	313.7	436.7	419.2
200740_s_at	1887.7	2413.1	1540.4	2314.7
200741_s_at	27238.5	33836.7	28536.8	23886.9
200742_s_at	246.4	392.9	348.7	624.2
200743_s_at	839.5	602.8	612.7	874.9
200744_s_at	294.6	273.8	384.7	491.6
200745_s_at	1009.2	868.8	1193.9	1647
200746_s_at	948	987.7	1006.7	1176.1
200747_s_at	971.5	567.8	897.6	692.1
200748_s_at	11025.8	12528.2	13157.7	9253.8
200749_at	909.1	975.8	685.7	491.6
200750_s_at	2204.9	2212.5	1804.2	2112.7
200751_s_at	572.8	621.5	523.8	533.1
200752_s_at	497.5	670.5	653.1	673.7
200753_x_at	1037.2	667.7	530.5	657.8
200754_x_at	1829.4	2391.2	2115	2480.2
200755_s_at	48.7	156.4	229.5	82.7
200756_x_at	30.7	383.8	491	310.7
200757_s_at	1501.7	1441.4	1109.6	1880.7
200758_s_at	11252.5	13083.8	12865	10210.9
200759_x_at	14392.7	14328.4	16162	12779.7
200760_s_at	3380.5	1949.4	2510.7	3491.7
200761_s_at	5201.1	5014.8	4414.7	6408.1
200762_at	826.7	978.1	644	1245.9
200763_s_at	40670.7	44212.4	44381.2	35590.4
200764_s_at	745.6	755.9	1005.6	793.9
200765_x_at	644.1	714.7	932.7	955.9
200766_at	403.1	415.1	516.4	262.6
200767_s_at	796.9	350	961	700.4
200768_s_at	1048.6	1942	2056.9	1394.8
200769_s_at	552.9	546.1	475.4	566.2
200770_s_at	211.2	338.2	307.2	304.9
200771_at	1159	1387.7	1493	2295.4
200772_x_at	946.9	916.7	744.5	1124.7
200773_x_at	4158.7	3376	3217.9	5242.6
200774_at	1894.1	2435.7	1670.4	2478.2
200775_s_at	2400.4	2795.7	2255.7	2184.7
200776_s_at	412.7	500.1	426.6	727.2
200777_s_at	663.7	731.6	746.5	963.5
200778_s_at	1767	1286.1	1793.6	1938.5
200779_at	12048.7	14344.4	11882.9	10388.4
200780_x_at	27105	18085.5	24372.4	23877.5
200781_s_at	32012.4	34435.1	32532.2	22062.7
200782_at	761.5	696.4	493.4	1190.4
200783_s_at	369.7	272	307.8	155.5
200784_s_at	69	106	82.7	98.8
200785_s_at	194.5	96.7	78	148.1
200786_at	3276.1	3404.6	3584.6	2944
200787_s_at	659.4	406.6	692.2	628.6
200788_s_at	1051	1268	886.2	1288.7
200789_at	7570.4	5920.7	6906.4	4743
200790_at	2382.4	2542.4	1686.4	3941.7
200791_s_at	76	275.2	93.8	90
200792_at	4212.9	3941.2	4231	4043.9
200793_s_at	8769.5	9794.6	7428.6	8099.9
200794_x_at	2170.5	2363.2	1955.7	2076.1
200795_at	3777.9	6083.7	3726.8	6776.9
200796_s_at	181.9	42.2	111.2	192
200797_s_at	4580.4	4246.4	4234.2	2547
200798_x_at	641.5	814.5	582	850.7
200799_at	8662.4	7962.7	7245.7	5948
200800_s_at	1714.9	1606.2	1716.7	1253.5
200801_x_at	7354.2	8505.7	7368	12694.6
200802_at	2212.8	2149	2181.8	2191
200803_s_at	1775.7	1052.1	1896.7	1709.1
200804_at	1854.5	2807.7	2356.6	2160.8
200805_at	329.1	375.5	255.5	343.8
200806_s_at	1196.8	1054.1	923.7	1369.7
200807_s_at	3927.9	5103.2	3101.2	5353.5
200808_s_at	846.7	539.8	907.4	843.8
200809_x_at	19044.2	14553.6	18851.7	16390.7
200810_s_at	2421.7	2340.7	1886.8	1778.5
200811_at	3551.7	2931.2	3166.2	2679
200812_at	1682.6	2087.4	1471.5	1695.6
200813_s_at	1355.8	1270.7	843.1	1340.9
200814_at	1567.6	2041.8	2435.6	2020.8
200815_s_at	623.1	471.1	643.6	385.6
200816_s_at	2223.6	2414.4	2387.5	2130.8
200817_x_at	33971.2	39687.1	47683.7	28229.7
200818_at	17672.5	18631.5	16030.5	14695.6
200819_s_at	29992.9	32850.2	29813.7	22042.8
200820_at	2181.7	2318.6	2477.7	1676.4
200821_at	915.5	1262.9	462.6	1103
200822_x_at	29910.7	26736.7	32251.5	32471.7
200823_x_at	19478.7	17342.6	18578.2	12985.7
200824_at	1769.6	2316.2	1551.7	1592.7
200825_s_at	575.2	669	614.4	759.7
200826_at	3973.7	3961.1	4014.2	4611.8
200827_at	438.1	472.6	92	312.1
200828_s_at	1784.2	1964.7	1490.1	2360.7
200829_x_at	1778.7	1767	1515.5	1875.7
200830_at	3637.1	4202.8	3445.7	2559.7
200831_s_at	83.1	113.2	98	161.6
200832_s_at	31.5	24.4	22.2	19.2
200833_s_at	943.2	1046.7	805	1134.7
200834_s_at	14953.7	19373.4	17714.1	13052.1
200835_s_at	628.7	37.5	88.5	242.2
200836_s_at	2213.4	1622.8	2109.9	2040.8
200837_at	413.9	681.7	109	601.7
200838_at	751.8	866.4	918.2	1167.7
200839_s_at	2179.5	1395.7	1656.1	1337.9
200840_at	3461.5	8447.2	7084.7	5843.7
200841_s_at	252.9	175.9	76.9	68.6
200842_s_at	1230.4	885.2	769.4	975
200843_s_at	1549.4	1235.7	1261.5	1352.1
200844_s_at	6982.2	7276	8660	7405.4
200845_s_at	2587.5	4132.6	3030.5	3225
200846_s_at	553	1282.7	1269.7	592.5
200847_s_at	1304	1880.7	1604	1430.4
200848_at	1020.7	1794.5	1269.7	1366.7
200849_s_at	1084.9	1523.1	824.4	1189.2
200850_s_at	1804.7	3229.4	1706.1	1629.7
200851_s_at	1262.7	1424	1595.6	1386.1
200852_x_at	455.1	1219.6	802.9	891.7
200853_at	1044	1318.5	1065.1	906.7
200854_at	1411.9	1065.2	1424.2	1209.1
200855_at	373.5	314.2	545.9	336.1
200856_x_at	274.5	257.6	364.2	440
200857_s_at	1021.9	1064.2	1064.7	1113
200858_s_at	7960.9	10018.7	8175.2	6103.6
200859_x_at	473.6	542.2	437.7	889.5
200860_s_at	1355.6	1548.7	1448	1025.1
200861_at	607.6	584.1	351.9	624.7
200862_at	1330.5	1333	1467.7	944.9
200863_s_at	1406.7	1382.1	1519.2	1816.6
200864_s_at	289.6	178.7	182.9	278.5
200865_at	167.5	106.7	107.2	98.8
200866_s_at	4075.7	3462.8	3831.1	2885.7
200867_at	649.7	670.9	486.5	716.8
200868_s_at	1556.2	1151.2	1359.5	1358.8
200869_at	18143.5	13214.5	20044.1	13351.1
200870_at	3987.5	2556.5	4109.5	4392
200871_s_at	7109.2	10371.1	8699	7919.7
200872_at	1555.5	962.2	373.9	2331.7
200873_s_at	2497.8	2816.8	1991.6	2622.5
200874_s_at	579.9	563.8	630.1	481.9
200875_s_at	576.1	468.4	647.7	437.5
200876_s_at	2656.1	2501.4	1865.1	2074.2
200877_at	4070.7	4602.7	3220.5	3806
200878_at	1848.5	2464.5	2134.6	2997.4
200879_s_at	182.5	199.7	471.8	126.7
200880_at	530.9	729.5	749.4	1209.6
200881_s_at	1017.9	1070.5	857.7	860
200882_s_at	4571.7	4399.8	4503.5	3236.4
200883_at	6867.7	6150.7	6349.7	5356.1
200884_at	575.1	816.1	665.2	439.1
200885_at	713	623.8	684.7	886.6
200886_s_at	837.9	951.4	1028.2	977.2
200887_s_at	1118.5	1350.9	1321.4	1140.9
200888_s_at	14187.7	10090.5	17582.7	12202.7
200889_s_at	380.7	173.1	330.2	216
200890_s_at	194.5	24.8	229.9	29.7
200891_s_at	1101.2	689	477.7	816.1
200892_s_at	579	670.6	952.1	800.6
200893_at	1126.7	1445.6	1033	1785.7
200894_s_at	384.7	304.4	254.1	349.4
200895_s_at	795.1	1447	874.4	1341.6
200896_x_at	3014.4	3820.4	4272.2	3434.2
200897_s_at	4153.2	3994.8	4233	4556.2
200898_s_at	343.6	221.2	29.9	266.2
200899_s_at	685.9	681.7	730.7	626.4
200900_s_at	496.1	385.9	294.4	474.9
200901_s_at	651.7	711.1	608.1	853.2
200902_at	570.1	429.2	455.4	448
200903_s_at	1023.9	975.5	1027.6	1134.6
200904_at	750	916.9	948.2	585
200905_x_at	1999.7	856.6	1919.9	2434.6
200906_s_at	468.7	453.7	644.6	733.5
200907_s_at	2195.8	1609.6	2245.1	2548.2
200908_s_at	54.2	40.2	59	29.5
200909_s_at	14062.6	16332.7	17262.4	12694.6
200910_at	1746.7	1948.6	1701.7	1976.7
200911_s_at	1490.8	1726	1531.2	2547.8
200912_s_at	18800.5	19393.4	17597.5	17635.9
200913_at	855.4	843.4	593.2	635.1
200914_x_at	1320.8	1502.1	1005.5	1425.4
200915_x_at	8852.4	11245.4	8806.9	10581.4
200916_at	170.4	194.1	63.1	453.9
200917_s_at	246.5	39	63.7	251.1
200918_s_at	1803.8	2435.6	2066.9	1757.7
200919_at	944.1	1377	844.6	931.5
200920_s_at	1125.2	1068.4	1121.5	945.2
200921_s_at	471.5	798.2	671.2	537.7
200922_at	169.2	198.1	305.9	359.2
200923_at	479.7	436.6	322.9	508.2
200924_s_at	428	110.9	89	478.2
200925_at	1120	1359.5	1272.7	1600.2
200926_at	39336.6	42308.7	46624.2	31174.6
200927_s_at	641.7	655.8	564.7	801.7
200928_s_at	176.4	86.8	102.9	237
200929_at	936.6	648.2	870.5	831.6
200930_s_at	157.8	56.7	217.9	40.4
200931_s_at	3120.9	2815.2	3242.2	3823
200932_s_at	1383.2	867.1	711.7	871.2
200933_x_at	25246.7	25568.4	28234.8	20959.5
200934_at	2627.4	2417.7	2215.2	2104
200935_at	15.2	34.2	19.1	16
200936_at	23096.6	24952.7	23961.1	18226.5
200937_s_at	6197.4	7388.4	6769.4	5147.6
200938_s_at	31.6	12.2	12.1	14.8
200939_s_at	218.5	60	171.7	233.4
200940_s_at	1480.2	2112.7	2051	1494.8
200941_at	1090.7	1063.5	1007.8	1198.2
200942_s_at	2325	1761.1	2331.7	1945.9
200943_at	480.6	544.6	286.5	731.2
200944_s_at	775.7	599.2	794.6	780.8
200945_s_at	1578.4	1628.5	1379.7	2057.5
200946_x_at	900.7	893.2	993.7	1156.1
200947_s_at	713.1	727.7	429	819.2
200948_at	1628.4	1966	1469.2	1433.9
200949_x_at	17111.9	19195.7	18906.8	15247.9
200950_at	748.6	645.6	424.8	795.6
200951_s_at	34.7	11.4	21.2	13.7
200952_s_at	131.9	44.1	39.5	59.7
200953_s_at	251.5	274.9	157.1	497.9
200954_at	281	1196.6	592.6	635.8
200955_at	3713.2	3651.2	2952.9	2983.7
200956_s_at	173.1	359.2	369.7	385.7
200957_s_at	607.8	427	579.5	554.6
200958_s_at	1260.7	1335	1424	2030.2
200959_at	806.2	660.7	770.7	545.5
200960_x_at	1305.6	1743	1376.7	1430.6
200961_at	846.5	970.1	830.8	999.6
200962_at	337.7	259.1	445.7	221.6
200963_x_at	26774.1	26485.2	30083.7	21903.4
200964_at	2324.8	3956.7	2960.2	2076.9
200965_s_at	1311.1	935.4	870.9	994.5
200966_x_at	62470.4	58281.8	79728.4	57523.8
200967_at	654.1	561.7	1011.8	990.7
200968_s_at	556.7	371.4	435.8	647.8
200969_at	66.7	163.1	116.2	103.9
200970_s_at	41.7	24.8	207.6	337.6
200971_s_at	306.7	408.7	482.1	674.6
200972_at	6033.6	6063.1	5725.2	5605.2
200973_s_at	3089.7	2641.4	2453.5	2632.4
200974_at	1060.2	1028.4	877.6	3083.2
200975_at	575.6	640.7	918.1	1035.2
200976_s_at	1575.6	2009.8	1764.6	1728.1
200977_s_at	1108.5	1609.2	1237.9	1208.7
200978_at	18060.4	16022.6	20075.2	17260.5
200979_at	345.7	465.1	771.9	694.8
200980_s_at	9209.6	8794.8	7167	6791.8
200981_x_at	27087.2	18340.2	21493.4	20384.7
200982_s_at	1523.6	2132.4	1384.7	2076.4
200983_x_at	5062.5	4023.4	3441.9	3835
200984_s_at	3079.1	3103.7	2703.7	3171.5
200985_s_at	3028.7	3667.8	2925.7	4003.7
200986_at	598.6	670.7	579	560.8
200987_x_at	785.5	906.4	751.4	935.6
200988_s_at	175.8	222.7	252.7	123.6
200989_at	618.2	473.7	431.1	779.4
200990_at	954.1	1679.2	929.7	801.8
200991_s_at	66.7	47.1	152.7	134.7
200992_at	2570.1	3295.8	2638.5	2929.2
200993_at	3964.9	3241.4	2210.8	4006.9
200994_at	1845.6	3087.6	1341	1980.9
200995_at	1284.7	1713.5	1179.6	1742.8
200996_at	289.7	605.2	337.7	757
200997_at	992.5	784.8	683.9	786.1
200998_s_at	867.6	608.6	639.1	912.9
200999_s_at	323.8	296	187.4	514.9
201000_at	1910.8	1825.9	1653.7	1776.5
201001_s_at	604.2	592.5	519.9	617
201002_s_at	1323.6	2474.5	1430.6	1248
201003_x_at	625.7	784.6	569.6	892.9
201004_at	1889.7	1219.6	1636.1	1562.4
201005_at	734.5	249.4	333.7	500.1
201006_at	350	214.7	323	735.4
201007_at	10499.7	11274.4	10859.7	12124.6
201008_s_at	4633.1	2473.7	5144.4	6426.7
201009_s_at	6337.1	4625	8470.2	10916
201010_s_at	11869.4	9296.7	12742.2	13210.6
201011_at	362.5	732	529.6	429.7
201012_at	409.4	362.4	438.4	499.5
201013_s_at	657.7	559.1	613.9	679.7
201014_s_at	195.1	308.8	207.9	322.2
201015_s_at	887.4	1491.2	841.7	707.1
201016_at	349.8	339.9	339.8	383.4
201017_at	608.9	533	509.7	573.9
201018_at	1581	1352.9	1315.1	1544
201019_s_at	1325.2	2394.2	1172.5	1282.1
201020_at	385.5	432.7	545.8	969.4
201021_s_at	1601.8	1397	1042.1	1848.9
201022_s_at	1878.7	2100.5	1429.9	3940.4
201023_at	2323.7	2988.7	2480.5	2636
201024_x_at	1255.9	1056.2	1118.6	867.4
201025_at	414.5	448.7	497	744.2
201026_at	355.9	261.9	423.7	366
201027_s_at	525.6	1066.7	1058	876
201028_s_at	1215.7	1144.2	961.6	1220.1
201029_s_at	2544.5	2778.7	2715.2	3577.7
201030_x_at	2253.4	2439.1	2524.6	1683.5
201031_s_at	1873.7	2596	1746.7	2363.9
201032_at	6366	9164.4	8716.8	7854
201033_x_at	35165.8	37517.2	32811.8	24799.5
201034_at	539.5	634.5	481.1	752.6
201035_s_at	3439	2512	3126.9	3080.5
201036_s_at	2936.7	3972	3120.9	2915.9
201037_at	214.5	187.4	43.1	85.6
201038_s_at	354.7	410.4	397.5	290.2
201039_s_at	3180.1	4601.9	2542.2	2893.2
201040_at	343	190.5	104.7	178.9
201041_s_at	2932.4	2706.6	4222	3676
201042_at	523.1	617.9	517.7	717
201043_s_at	35.6	21.8	87	179.7
201044_x_at	27	25.7	26.4	68.1
201045_s_at	16.7	14.4	149.6	15.7
201046_s_at	7250.6	11750.5	8087.7	7455.7
201047_x_at	1597.6	1100.6	1352.4	1711.5
201048_x_at	213.4	116.7	53.1	311.1
201049_s_at	41440.5	40363.1	33484.2	30042.2
201050_at	460.4	472.6	390.8	420.9
201051_at	1512.5	1193.1	1807.7	1918.1
201052_s_at	1656.7	1584.9	1224.9	823
201053_s_at	449.9	966.7	546.9	451
201054_at	1272	1404.2	1080.7	1121.9
201055_s_at	546.7	347	343.7	349.8
201056_at	397	352.7	493.1	386.5
201057_s_at	774.6	534.2	527.7	576.5
201058_s_at	22	314	63.1	397.9
201059_at	1940.2	1078	1530.7	937.5
